"","mean.age","negative_experience","id","education","east.asian.time.in.us","profit.diff","joint.profit","cultural_intelligence","emotional.intelligence","iq","extroversion","openness"
"59",20.5,"no",72,"Undergraduate",3,100,1480,5.4,3.81297348484849,0.187170499765275,3.1,3.3
"60",19.5,"no",73,"Undergraduate",48,0,1320,4.425,3.6969696969697,-0.428017077146194,2.95,3.25
"61",18,"no",74,"Undergraduate",60,0,1160,5.525,4.21212121212121,-0.836084200431755,4.05,4.15
"62",21.5,"no",75,"Undergraduate",60,0,1320,4.225,3.16666666666667,0.248908339427814,3.15,3.35
"63",28,"no",7,"Graduate",5,NA,NA,4.325,4.33333333333333,0.187170499765275,3.9,3.65
"64",42,"no",17,"Graduate",58,NA,NA,5.13684210526316,3.16666666666667,-0.135857748606095,3.1,3.95
"65",25.5,"no",30,"Graduate",11,NA,NA,5.15,3.27272727272727,0.681670598578393,3.95,3.66111111111111
"66",27,"yes",1,"Graduate",10,NA,NA,NA,NA,NA,NA,NA
"67",38,"no",6,"Graduate",19,240,1080,NA,NA,NA,NA,NA
"68",28.5,"yes",8,"Graduate",10,220,1400,NA,NA,NA,NA,NA
"69",27.5,"no",15,"Graduate",36,120,1080,NA,NA,NA,NA,NA
"70",20.5,"no",23,"Undergraduate",48,200,1160,NA,NA,NA,NA,NA
"71",35,"no",31,"Graduate",54,NA,NA,NA,NA,NA,NA,NA
"72",28,"no",42,"Graduate",48,NA,NA,NA,NA,NA,NA,NA
"73",23.5,"no",47,"Graduate",1,100,1320,NA,NA,NA,NA,NA
"74",24.5,"no",61,"Graduate",50,220,1320,NA,NA,NA,NA,NA
"75",27.5,"yes",67,"Graduate",3,40,1320,NA,NA,NA,NA,NA
