percentage-of-(IP)-overall,percentage-of-(SF)-overall,percentage-of-(OM)-grocery,percentage-of-(SF)-grocery,number-of-(PO)-overall,number-of-(IR)-overall,number-of-(IS)-grocery,percentage-of-(IP-RN)-overall,percentage-of-(SBR-MINEG)-overall,percentage-of-(QM-IR)-overall,percentage-of-(SBR-SF)-overall,percentage-of-(OM-QM)-wine,percentage-of-(MIN-IR)-wine,percentage-of-(IP-SF)-grocery,percentage-of-(IP-IDN)-turns,percentage-of-(MIN-QR)-turns,percentage-of-(IDN-SBR)-turns,number-of-(IP-RN)-overall,number-of-(OM-RP)-overall,number-of-(IP-IDN)-turns,1-0020,1-0090,1-0091,1-0177,1-0432,1-0483,1-0605,1-0687,1-0891,1-1062,1-1702,1-1800,1-1886,2-0004,2-0112,2-0250,2-0254,2-0994,3-0030,3-0046,ID,mean_age,negative_experience,education,east.asian.time.in.us,cultural_intelligence,emotional.intelligence,IQ,extroversion,openness,profit.diff,profit.joint
0.125,0.00735294117647,0.1,0.0,1,4,1,0,0.00740740740741,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,25,30,yes,Graduate,12,4.85,3.39393939393939,-0.848431768364261,2.4,3.75,100,1320
0.210526315789,0.0175438596491,0,0.037037037037,0,1,0,0,0,0,0.0178571428571,0,0,0.0384615384615,0.0217391304348,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,26,23.5,no,Undergraduate,3.5,5.425,3.46638257575758,-0.848431768364261,3.3,3.4,0,1160
0.104712041885,0,0.175257731959,0,5,9,0,0,0,0,0,0.010752688172,0.010752688172,0,0,0.0077519379845,0,0,4,0,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,27,26.5,no,Graduate,11,5.59166666666667,3.74242424242424,-0.074119908943553,2.55,3.4,140,1480
0.0748299319728,0.0136054421769,0.0689655172414,0.0,2,2,0,0,0.00684931506849,0,0.00684931506849,0,0,0,0,0,0,0,2,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,28.5,no,Graduate,48,5.625,3.81818181818182,-1.16528623276938,2.9,3.61666666666667,100,1260
0.135714285714,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29,28,no,Graduate,11,5.275,3.83333333333333,0.431333657188705,2.65,4.1,120,1240
0.102941176471,0.0147058823529,0,0.0225563909774,1,2,0,0.0184501845018,0,0,0.0110701107011,0,0.00724637681159,0,0,0,0,5,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,25.5,no,Graduate,40,4.75,3.31818181818182,-0.506882168094132,2.4,2.95,120,1160
0.0872483221477,0,0.0263157894737,0,1,2,0,0,0.0135135135135,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,33,26.5,no,Graduate,50,5.05,3.68230694037146,0.663149246679628,3.4,3.5,20,1240
0.031007751938,0,0.1,0,5,10,0,0,0,0.0078125,0,0,0.0147058823529,0,0,0,0,0,3,0,12,0,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,34,26.5,no,Graduate,61,5.525,4.24242424242424,-0.0926412608423158,3.95,4.65,200,1480
0.122699386503,0,0,0,3,5,1,0.0185185185185,0.00617283950617,0,0,0,0.0147058823529,0,0,0,0.0238095238095,3,0,0,2,0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,23,yes,Graduate,12,4.875,3.88920454545455,0.327773430375752,2.8,4.15,0,1160
0.0588235294118,0.0470588235294,0.025,0.025,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,36,23.5,no,Graduate,1,5.025,4.1969696969697,-0.738697757585054,2.75,3.6,0,1260
0.119658119658,0,0.0555555555556,0,1,3,0,0,0,0,0,0.0161290322581,0,0,0,0,0,0,1,0,4,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,37,27.5,no,Graduate,60,5.55,4.1969696969697,0.541067667967913,4.25,4.2,20,1400
0.0867052023121,0,0.04,0,8,0,0,0.0116279069767,0.00581395348837,0,0,0.0103092783505,0,0,0,0,0,2,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,24,no,Graduate,49,4.825,3.95454545454546,0.443681225121215,3.25,3.65,320,1340
0.107913669065,0,0.0149253731343,0,5,3,0,0,0.00724637681159,0,0,0,0.0140845070423,0,0,0,0,0,1,0,9,2,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,39,29,no,Graduate,48,4.45,3.01515151515151,0.095957840884828,3,3.2,220,1400
0.0704225352113,0,0.0373831775701,0,8,12,0,0.00471698113208,0.00471698113208,0.00471698113208,0,0,0.00952380952381,0,0,0.0166666666667,0,1,2,0,15,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,40,21,no,Undergraduate,?,5.225,3.828125,1.50397862911577,3.85,4.25,20,1480
0.144736842105,0.0131578947368,0.0512820512821,0.025641025641,1,1,0,0,0,0,0,0,0,0.0263157894737,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,43,29,no,Graduate,60,5.125,3.78787878787879,0.017092749936892,3.8,3.7,20,1240
0.151162790698,0,0.157894736842,0,2,5,0,0,0,0.0117647058824,0,0,0.0212765957447,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,44,26,no,Graduate,48,5.875,3.79971590909091,1.03417366616766,3.8,4.1,360,1400
0.0846153846154,0,0.0697674418605,0,3,3,0,0,0,0,0,0,0.0232558139535,0,0,0.0153846153846,0,0,3,0,1,2,7,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,45,21,yes,Undergraduate,44,4.95,4.22727272727272,0.607585190983342,2.63888888888889,4.15,120,1480
0.089552238806,0,0.0147058823529,0,2,4,0,0,0.015037593985,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,46,21,no,Undergraduate,48,4.8,3.51515151515151,0.857922132373028,2.45,3.35,0,1320
0.117647058824,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,48,20.5,no,Undergraduate,46,5.425,4.03030303030303,-0.36627923748365,3.3,4.2,120,1240
