@relation meta_fv-weka.filters.unsupervised.instance.NonSparseToSparse

@attribute ID numeric
@attribute mean_age numeric
@attribute negative_experience {no,yes}
@attribute education {Graduate,Undergraduate}
@attribute east.asian.time.in.us numeric
@attribute cultural_intelligence numeric
@attribute emotional.intelligence numeric
@attribute IQ numeric
@attribute extroversion numeric
@attribute openness numeric
@attribute profit.diff numeric
@attribute profit.joint numeric

@data

{0 2,1 34.5,4 32,5 5.375,6 4.469697,7 0.827053,8 4.35,9 4.75,10 320,11 1480}
{0 3,1 28,4 40,5 5.225,6 4,7 0.87027,8 3.8,9 3.6,11 1320}
{0 4,1 27,2 yes,4 58,5 5.2,6 3.893939,7 0.613759,8 3.85,9 3.9,10 40,11 1480}
{0 5,1 40.5,2 yes,4 8,5 4.7,6 3.681818,7 0.199518,8 3.45,9 4.45,10 120,11 1320}
{0 9,1 29,4 17,5 5.525,6 3.666667,7 0.63228,8 4.05,9 3.75,10 220,11 1320}
{0 10,1 29,4 6,5 4.875,6 3.532197,7 -0.653659,8 3.644444,9 3.6,10 200,11 1400}
{0 11,1 26,4 46,5 4.95,6 3.833333,7 0.650802,8 3,9 3.55,10 220,11 1400}
{0 12,1 34,4 9,5 4.8,6 3.5,7 -1.475967,8 2.45,9 3.15,10 140,11 1400}
{0 13,1 26,2 yes,4 20,5 5.325,6 3.723958,7 -0.72635,8 3.6,9 4.25,10 220,11 1400}
{0 14,1 26.5,2 yes,4 23,5 5.675,6 3.681818,7 -0.647485,8 3.6,9 3.6,11 1480}
{0 16,1 27.5,4 48,5 3.975,6 3.636364,7 0.772883,8 3.25,9 3.95,10 120,11 1400}
{0 18,1 27,4 23,5 5.35,6 4.30303,7 -0.757219,8 3.9,9 4.15,11 1240}
{0 19,1 24,2 yes,4 10,5 5.275,6 3.636364,7 0.998525,8 3.6,9 4.35,10 100,11 1320}
{0 20,1 29.5,2 yes,4 60,5 5.075,6 4.30303,7 -0.111163,8 3.55,9 4,11 1240}
{0 21,1 34.5,2 yes,3 Undergraduate,4 ?,5 4.823684,6 3.924242,7 0.211866,8 3.75,9 4.15,10 20,11 1400}
{0 22,1 29,4 32,5 4.575,6 3.878788,7 -0.305935,8 3.7,9 3.45,10 40,11 1480}
{0 24,1 28,4 11,5 5.078947,6 3.484848,7 0.431334,8 2.25,9 3.8,10 240,11 1320}
{0 25,1 30,2 yes,4 12,5 4.85,6 3.393939,7 -0.848432,8 2.4,9 3.75,10 100,11 1320}
{0 26,1 23.5,3 Undergraduate,4 3.5,5 5.425,6 3.466383,7 -0.848432,8 3.3,9 3.4,11 1160}
{0 27,1 26.5,4 11,5 5.591667,6 3.742424,7 -0.07412,8 2.55,9 3.4,10 140,11 1480}
{0 28,1 28.5,4 48,5 5.625,6 3.818182,7 -1.165286,8 2.9,9 3.616667,10 100,11 1260}
{0 29,1 28,4 11,5 5.275,6 3.833333,7 0.431334,8 2.65,9 4.1,10 120,11 1240}
{0 32,1 25.5,4 40,5 4.75,6 3.318182,7 -0.506882,8 2.4,9 2.95,10 120,11 1160}
{0 33,1 26.5,4 50,5 5.05,6 3.682307,7 0.663149,8 3.4,9 3.5,10 20,11 1240}
{0 34,1 26.5,4 61,5 5.525,6 4.242424,7 -0.092641,8 3.95,9 4.65,10 200,11 1480}
{0 35,1 23,2 yes,4 12,5 4.875,6 3.889205,7 0.327773,8 2.8,9 4.15,11 1160}
{0 36,1 23.5,4 1,5 5.025,6 4.19697,7 -0.738698,8 2.75,9 3.6,11 1260}
{0 37,1 27.5,4 60,5 5.55,6 4.19697,7 0.541068,8 4.25,9 4.2,10 20,11 1400}
{0 38,1 24,4 49,5 4.825,6 3.954545,7 0.443681,8 3.25,9 3.65,10 320,11 1340}
{0 39,1 29,4 48,5 4.45,6 3.015152,7 0.095958,8 3,9 3.2,10 220,11 1400}
