@relation 'baseline_fv-weka.filters.unsupervised.attribute.Remove-R228,238'

@attribute percentage-of-(PT)-overall numeric
@attribute percentage-of-(TH)-overall numeric
@attribute percentage-of-(QM)-overall numeric
@attribute percentage-of-(MIC)-wine numeric
@attribute number-of-(P1)-grocery numeric
@attribute percentage-of-(ESBR)-wine numeric
@attribute east.asian.time.in.us numeric
@attribute percentage-of-(SBE)-grocery numeric
@attribute percentage-of-(MINEG)-grocery numeric
@attribute percentage-of-(INN)-grocery numeric
@attribute percentage-of-(IR)-grocery numeric
@attribute number-of-(IDN)-overall numeric
@attribute profit.joint numeric
@attribute percentage-of-(RT)-overall numeric
@attribute percentage-of-(MIN)-overall numeric
@attribute number-of-(QM)-overall numeric
@attribute number-of-(MIN)-overall numeric
@attribute percentage-of-(QS)-wine numeric
@attribute number-of-(SF)-overall numeric
@attribute percentage-of-(IS)-wine numeric
@attribute percentage-of-(QM)-grocery numeric
@attribute number-of-(IB)-grocery numeric
@attribute number-of-(RT)-grocery numeric
@attribute percentage-of-(PX)-overall numeric
@attribute number-of-(PP)-grocery numeric
@attribute number-of-(IDP)-wine numeric
@attribute number-of-(GD)-grocery numeric
@attribute percentage-of-(OM)-overall numeric
@attribute percentage-of-(OT)-wine numeric
@attribute percentage-of-(RT)-wine numeric
@attribute percentage-of-(QS)-overall numeric
@attribute percentage-of-(RP)-overall numeric
@attribute percentage-of-(RN)-grocery numeric
@attribute number-of-(IDP)-grocery numeric
@attribute percentage-of-(IDP)-overall numeric
@attribute number-of-(MINEG)-wine numeric
@attribute number-of-(PX)-grocery numeric
@attribute percentage-of-(IS)-grocery numeric
@attribute percentage-of-(IB)-grocery numeric
@attribute percentage-of-(QM)-wine numeric
@attribute cultural_intelligence numeric
@attribute number-of-though-unit numeric
@attribute number-of-(CS)-grocery numeric
@attribute number-of-(GD)-overall numeric
@attribute percentage-of-(MIN)-wine numeric
@attribute percentage-of-(INP)-overall numeric
@attribute number-of-(OS)-grocery numeric
@attribute number-of-(INP)-wine numeric
@attribute number-of-(RN)-wine numeric
@attribute percentage-of-(RT)-grocery numeric
@attribute percentage-of-(MIN)-grocery numeric
@attribute percentage-of-(INP)-grocery numeric
@attribute number-of-(IR)-wine numeric
@attribute number-of-(QR)-overall numeric
@attribute number-of-(IS)-grocery numeric
@attribute number-of-(IDN)-wine numeric
@attribute number-of-(QP)-overall numeric
@attribute extroversion numeric
@attribute number-of-(OM)-grocery numeric
@attribute percentage-of-(IS)-overall numeric
@attribute number-of-(QP)-wine numeric
@attribute number-of-(IB)-wine numeric
@attribute percentage-of-(RN)-overall numeric
@attribute number-of-(IR)-grocery numeric
@attribute percentage-of-(QR)-overall numeric
@attribute number-of-(IB)-overall numeric
@attribute number-of-(QS)-overall numeric
@attribute percentage-of-(PC)-wine numeric
@attribute number-of-(TH)-grocery numeric
@attribute number-of-(MINEG)-overall numeric
@attribute percentage-of-(PM)-wine numeric
@attribute number-of-(PW)-grocery numeric
@attribute number-of-(PM)-grocery numeric
@attribute percentage-of-(GD)-overall numeric
@attribute percentage-of-(PO)-overall numeric
@attribute number-of-(SBE)-overall numeric
@attribute number-of-(PX)-wine numeric
@attribute percentage-of-(PW)-grocery numeric
@attribute number-of-(SF)-grocery numeric
@attribute percentage-of-(RP)-grocery numeric
@attribute number-of-(QR)-wine numeric
@attribute number-of-(ESBR)-wine numeric
@attribute percentage-of-(MU)-overall numeric
@attribute percentage-of-(OM)-wine numeric
@attribute number-of-(PM)-overall numeric
@attribute number-of-(OS)-overall numeric
@attribute percentage-of-(TH)-wine numeric
@attribute number-of-(MIC)-wine numeric
@attribute percentage-of-(QP)-grocery numeric
@attribute IQ numeric
@attribute percentage-of-(PM)-overall numeric
@attribute number-of-(IR)-overall numeric
@attribute number-of-(PO)-wine numeric
@attribute percentage-of-(QB)-grocery numeric
@attribute number-of-(IDP)-overall numeric
@attribute number-of-(IS)-wine numeric
@attribute percentage-of-(PX)-wine numeric
@attribute percentage-of-(PP)-overall numeric
@attribute number-of-(RN)-grocery numeric
@attribute number-of-(PC)-overall numeric
@attribute percentage-of-(TH)-grocery numeric
@attribute percentage-of-(PT)-wine numeric
@attribute percentage-of-(IP)-overall numeric
@attribute number-of-(MINEG)-grocery numeric
@attribute number-of-(IDN)-grocery numeric
@attribute number-of-(OT)-grocery numeric
@attribute percentage-of-(PC)-overall numeric
@attribute percentage-of-(QR)-grocery numeric
@attribute number-of-(RN)-overall numeric
@attribute percentage-of-(CS)-grocery numeric
@attribute percentage-of-(CS)-wine numeric
@attribute percentage-of-(MU)-grocery numeric
@attribute percentage-of-(QB)-wine numeric
@attribute percentage-of-(SF)-overall numeric
@attribute number-of-(PO)-overall numeric
@attribute number-of-(PM)-wine numeric
@attribute number-of-(ESBR)-grocery numeric
@attribute number-of-(SBR)-overall numeric
@attribute percentage-of-(SF)-wine numeric
@attribute number-of-(MU)-wine numeric
@attribute number-of-(PW)-wine numeric
@attribute percentage-of-(P1)-grocery numeric
@attribute number-of-(QP)-grocery numeric
@attribute number-of-(P1)-wine numeric
@attribute percentage-of-(QS)-grocery numeric
@attribute number-of-(OM)-overall numeric
@attribute percentage-of-(ESBR)-overall numeric
@attribute percentage-of-(PC)-grocery numeric
@attribute number-of-(PX)-overall numeric
@attribute percentage-of-(P1)-wine numeric
@attribute percentage-of-(SBE)-overall numeric
@attribute number-of-(OS)-wine numeric
@attribute number-of-(PW)-overall numeric
@attribute openness numeric
@attribute number-of-(IP)-overall numeric
@attribute number-of-(OT)-wine numeric
@attribute number-of-(PO)-grocery numeric
@attribute number-of-(RT)-overall numeric
@attribute mean_age numeric
@attribute number-of-(IP)-wine numeric
@attribute number-of-(INN)-grocery numeric
@attribute number-of-(OT)-overall numeric
@attribute percentage-of-(OS)-overall numeric
@attribute negative_experience {no,yes}
@attribute number-of-(QR)-grocery numeric
@attribute number-of-(QS)-wine numeric
@attribute number-of-(IS)-overall numeric
@attribute percentage-of-(SBR)-grocery numeric
@attribute number-of-(MIN)-wine numeric
@attribute percentage-of-(IP)-wine numeric
@attribute number-of-(PC)-wine numeric
@attribute number-of-(IP)-grocery numeric
@attribute number-of-(INP)-overall numeric
@attribute percentage-of-(MU)-wine numeric
@attribute number-of-(CS)-wine numeric
@attribute number-of-(PT)-overall numeric
@attribute number-of-(P1)-overall numeric
@attribute number-of-though-unit-grocery numeric
@attribute percentage-of-(SBR)-overall numeric
@attribute number-of-(GD)-wine numeric
@attribute number-of-(CS)-overall numeric
@attribute number-of-(MIC)-overall numeric
@attribute percentage-of-(IDN)-grocery numeric
@attribute number-of-(TH)-overall numeric
@attribute percentage-of-(OS)-grocery numeric
@attribute percentage-of-(IDP)-grocery numeric
@attribute percentage-of-(PM)-grocery numeric
@attribute number-of-(INP)-grocery numeric
@attribute number-of-(PC)-grocery numeric
@attribute percentage-of-(PW)-overall numeric
@attribute number-of-(PP)-wine numeric
@attribute number-of-(QB)-wine numeric
@attribute number-of-(INN)-wine numeric
@attribute number-of-(MIN)-grocery numeric
@attribute number-of-(ESBR)-overall numeric
@attribute percentage-of-(IR)-wine numeric
@attribute number-of-(SBR)-grocery numeric
@attribute percentage-of-(OM)-grocery numeric
@attribute percentage-of-(PO)-wine numeric
@attribute percentage-of-(QR)-wine numeric
@attribute percentage-of-(P1)-overall numeric
@attribute percentage-of-(MIC)-grocery numeric
@attribute percentage-of-(PO)-grocery numeric
@attribute percentage-of-(PW)-wine numeric
@attribute percentage-of-(IDN)-wine numeric
@attribute percentage-of-(RP)-wine numeric
@attribute percentage-of-(PP)-grocery numeric
@attribute number-of-(QM)-wine numeric
@attribute percentage-of-(IB)-overall numeric
@attribute percentage-of-(PP)-wine numeric
@attribute number-of-(PT)-grocery numeric
@attribute education {Graduate,Undergraduate}
@attribute number-of-(RP)-wine numeric
@attribute percentage-of-(INN)-overall numeric
@attribute percentage-of-(SBR)-wine numeric
@attribute number-of-(MU)-grocery numeric
@attribute number-of-(TH)-wine numeric
@attribute wine-is-East-Asian {True,False}
@attribute number-of-(RT)-wine numeric
@attribute percentage-of-(RN)-wine numeric
@attribute percentage-of-(MIC)-overall numeric
@attribute number-of-(MU)-overall numeric
@attribute percentage-of-(SBE)-wine numeric
@attribute percentage-of-(QP)-overall numeric
@attribute number-of-(OM)-wine numeric
@attribute percentage-of-(INN)-wine numeric
@attribute percentage-of-(OS)-wine numeric
@attribute percentage-of-(IDN)-overall numeric
@attribute number-of-(RP)-grocery numeric
@attribute percentage-of-(OT)-grocery numeric
@attribute percentage-of-(ESBR)-grocery numeric
@attribute percentage-of-(IDP)-wine numeric
@attribute percentage-of-(IB)-wine numeric
@attribute number-of-(SF)-wine numeric
@attribute percentage-of-(MINEG)-overall numeric
@attribute number-of-(MIC)-grocery numeric
@attribute number-of-though-unit-wine numeric
@attribute percentage-of-(GD)-grocery numeric
@attribute percentage-of-(PT)-grocery numeric
@attribute number-of-(PP)-overall numeric
@attribute number-of-(SBE)-grocery numeric
@attribute percentage-of-(PX)-grocery numeric
@attribute percentage-of-(QP)-wine numeric
@attribute number-of-(PT)-wine numeric
@attribute percentage-of-(MINEG)-wine numeric
@attribute number-of-(QB)-grocery numeric
@attribute percentage-of-(OT)-overall numeric
@attribute number-of-(QM)-grocery numeric
@attribute number-of-(SBE)-wine numeric
@attribute percentage-of-(GD)-wine numeric
@attribute percentage-of-(IR)-overall numeric
@attribute emotional.intelligence numeric
@attribute percentage-of-(IP)-grocery numeric
@attribute percentage-of-(SF)-grocery numeric
@attribute percentage-of-(CS)-overall numeric
@attribute number-of-(RP)-overall numeric
@attribute number-of-(QS)-grocery numeric
@attribute percentage-of-(QB)-overall numeric
@attribute number-of-(QB)-overall numeric
@attribute number-of-(INN)-overall numeric
@attribute number-of-(SBR)-wine numeric
@attribute percentage-of-(INP)-wine numeric

@data
0.004545,0,0.05,0.067308,4,0,48,0,0,0.008621,0.017241,2,1400,0.009091,0.368182,11,81,0,1,0,0.008621,0,0,0,6,0,0,0.031818,0,0.019231,0.004545,0.036364,0.017241,0,0,0,0,0,0,0.096154,3.975,220,2,0,0.413462,0.013636,2,2,1,0,0.327586,0.008621,3,2,0,1,6,3.25,5,0,2,0,0.013636,2,0.009091,0,1,0.009615,0,0,0,0,0,0,0.013636,0,0,0,1,0.025862,2,0,0.004545,0.019231,0,3,0,7,0.034483,0.772883,0,5,2,0,0,0,0,0.036364,2,4,0,0.009615,0.081818,0,1,0,0.018182,0,3,0.017241,0,0.008621,0,0.004545,3,0,0,20,0,0,0,0.034483,4,2,0.008621,7,0,0.025862,0,0.019231,0,1,0,3.95,18,0,1,2,27.5,7,1,0,0.013636,no,0,0,0,0.12069,43,0.067308,1,11,3,0,0,1,6,116,0.090909,0,2,19,0.008621,0,0.017241,0,0,1,3,0,2,0,2,38,0,0.028846,14,0.043103,0.019231,0.019231,0.027273,0.103448,0.008621,0,0.009615,0.048077,0.051724,10,0,0.019231,0,Graduate,5,0.013636,0.057692,1,0,False,2,0.009615,0.086364,1,0,0.027273,2,0.019231,0.009615,0.009091,3,0,0,0,0,0,0,12,104,0,0,8,0,0,0.019231,1,0,0,0,1,0,0,0.022727,3.636364,0.094828,0.008621,0.009091,8,1,0,0,3,6,0.019231
0,0,0.033058,0.113208,2,0,23,0,0,0,0,1,1240,0,0.107438,4,13,0,1,0,0.058824,1,0,0,0,0,0,0.008264,0.075472,0,0.041322,0.041322,0.014706,0,0,0,0,0,0.014706,0,5.35,121,4,0,0.113208,0.016529,3,0,0,0,0.102941,0.029412,1,0,0,0,10,3.9,0,0,5,2,0.008264,0,0,3,5,0.018868,0,0,0.018868,0,0,0,0,0,0,0,0,0.044118,0,0,0.008264,0.018868,1,8,0,6,0.073529,-0.757219,0.008264,1,0,0,0,0,0,0.008264,1,1,0,0,0.115702,0,1,4,0.008264,0,1,0.058824,0.018868,0.014706,0,0.008264,0,1,0,22,0.018868,0,0,0.029412,5,0,0.073529,1,0,0,0,0,0,5,0,4.15,14,4,0,0,27,7,0,8,0.066116,no,0,0,0,0.191176,6,0.132075,1,7,2,0,1,0,2,68,0.181818,0,5,11,0.014706,0,0.044118,0,0,2,0,0,1,0,0,7,0,0.018868,13,0,0,0,0.016529,0.073529,0,0,0,0.037736,0,0,0.024793,0.018868,0,Graduate,2,0,0.169811,1,0,False,0,0,0.090909,1,0,0.082645,1,0,0.09434,0.008264,3,0.058824,0,0,0.037736,1,0,5,53,0,0,1,0,0,0.09434,0,0,0,0.066116,4,0,0,0.008264,4.30303,0.102941,0,0.041322,5,5,0,0,0,9,0
0,0,0.042857,0.04,0,0,10,0,0.055556,0.011111,0,3,1320,0,0.092857,6,13,0,1,0,0.011111,0,0,0,2,0,0,0.057143,0,0,0.007143,0.028571,0.022222,2,0.014286,1,0,0,0,0.1,5.275,140,0,0,0.14,0.007143,5,0,0,0,0.066667,0.011111,2,1,0,0,5,3.6,5,0,1,0,0.014286,0,0.007143,0,1,0,0,6,0.02,0,2,0,0.007143,0,0,0,1,0.022222,0,0,0,0.06,3,10,0,2,0.044444,0.998525,0.021429,2,0,0,2,0,0,0.021429,2,3,0,0,0.128571,5,3,2,0.021429,0.011111,2,0,0,0,0,0.007143,1,1,0,29,0,0,0,0,4,3,0.011111,8,0,0.033333,0,0.06,0,5,0,4.35,18,0,1,0,24,4,1,2,0.071429,yes,1,0,0,0.188889,7,0.08,0,14,1,0,0,0,3,90,0.207143,0,0,11,0.033333,0,0.055556,0.022222,0.022222,1,3,0,1,0,1,6,0,0.04,17,0.055556,0,0,0.021429,0.1,0.011111,0,0,0.04,0.022222,5,0,0.02,0,Graduate,2,0.014286,0.24,0,0,True,0,0,0.078571,0,0,0.035714,3,0.02,0.1,0.021429,2,0.022222,0,0,0,0,0.042857,9,50,0,0,3,0,0,0.02,0,0.02,0,0.014286,1,0,0,0.014286,3.636364,0.155556,0.011111,0,4,1,0,0,2,12,0
0.002247,0,0.044944,0.034783,3,0,60,0,0.023256,0,0,1,1240,0,0.188764,20,84,0.008696,4,0,0.051163,1,0,0,3,0,0,0.038202,0,0,0.01573,0.013483,0.009302,0,0,4,0,0,0.004651,0.03913,5.075,445,0,0,0.217391,0.011236,11,0,2,0,0.15814,0.023256,2,1,0,0,13,3.55,10,0,4,4,0.008989,0,0.002247,5,7,0,0,9,0.013043,1,4,0,0.004494,0,0,0.004651,3,0.004651,0,0,0.002247,0.030435,7,22,0,8,0.04186,-0.111163,0.01573,2,2,0,0,0,0,0.008989,2,2,0,0,0.076404,5,1,0,0.004494,0.004651,4,0,0,0,0,0.008989,2,3,0,164,0.004348,1,0,0.013953,9,2,0.023256,17,0,0.009302,0,0.008696,0,11,1,4,34,0,0,0,29.5,19,0,0,0.049438,yes,1,2,0,0.330233,50,0.082609,0,15,5,0.004348,0,1,5,215,0.368539,0,0,24,0.004651,0,0.051163,0,0.018605,5,2,0.002247,1,0,0,34,0,0.008696,71,0.046512,0.008696,0,0.011236,0.074419,0,0,0,0.021739,0.013953,9,0.011236,0.004348,1,Graduate,5,0,0.404348,0,0,True,0,0.008696,0.053933,1,0,0.029213,7,0,0.047826,0.002247,1,0,0,0,0.017391,1,0.020225,16,230,0,0.004651,4,0,0,0.017391,0,0.017391,0,0,11,0,0,0.004494,4.30303,0.069767,0.013953,0,6,5,0,0,0,93,0
0,0,0.05618,0,0,0,?,0,0.018519,0,0.074074,0,1400,0.011236,0.179775,5,16,0,0,0,0.092593,0,1,0,1,0,0,0.078652,0.171429,0,0,0.044944,0,0,0,0,0,0,0,0,4.823684,89,0,0,0.142857,0.011236,3,0,0,0.018519,0.203704,0.018519,3,0,0,0,6,3.75,4,0,2,0,0,4,0,0,0,0.057143,0,1,0,0,0,0,0.044944,0,0,0,0,0.037037,0,0,0,0.085714,0,3,0,0,0.074074,0.211866,0,7,2,0,0,0,0,0.011236,0,4,0,0,0.146067,1,0,4,0.044944,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,4,2,0,7,0,0.037037,0,0.057143,0,0,0,4.15,13,6,2,1,34.5,7,0,10,0.033708,yes,0,0,0,0.018519,5,0.2,2,6,1,0,0,0,2,54,0.022472,0,0,2,0,0,0.055556,0,0,1,2,0,0,0,0,11,0,0.085714,1,0.074074,0.057143,0,0.022472,0.037037,0.037037,0,0,0.057143,0.018519,0,0,0,0,Undergraduate,2,0,0.028571,0,0,False,0,0,0.022472,0,0,0.067416,3,0,0,0,2,0.074074,0,0,0,0,0.011236,2,35,0,0,1,0,0,0.057143,0,0,0,0.11236,5,0,0,0.078652,3.924242,0.111111,0,0,4,0,0,0,0,1,0
0,0,0.022222,0.111111,0,0,32,0,0,0,0.047619,3,1480,0,0.133333,3,18,0,0,0,0.031746,1,0,0,0,0,0,0.014815,0.277778,0,0,0.022222,0.015873,0,0,0,0,0,0.015873,0.013889,4.575,135,0,0,0.111111,0.007407,3,0,0,0,0.15873,0.015873,5,2,0,1,6,3.7,1,0,2,0,0.007407,3,0.014815,1,0,0.013889,0,0,0.027778,0,0,0,0.051852,0,0,0,0,0.015873,2,0,0.007407,0.013889,2,4,0,8,0.063492,-0.305935,0.014815,8,5,0,0,0,0,0.007407,1,3,0,0,0.096296,0,2,12,0.022222,0,1,0,0,0,0,0,7,2,0,5,0,1,0,0,4,2,0,2,0,0.031746,0,0.027778,0,1,0,3.45,13,20,2,0,29,6,0,32,0.02963,no,0,0,0,0.047619,8,0.083333,1,7,1,0.013889,0,0,2,63,0.037037,0,0,16,0.031746,0,0.047619,0,0,1,2,0,1,0,1,10,0,0.069444,3,0.015873,0.069444,0.027778,0.014815,0.126984,0.031746,0,0.013889,0.027778,0,1,0.007407,0.013889,0,Graduate,2,0.007407,0.027778,0,0,False,0,0,0.118519,1,0,0.044444,1,0.013889,0.013889,0.022222,1,0.190476,0,0,0,0,0,8,72,0,0,1,0,0,0.027778,0,0,0,0.237037,2,0,0,0.059259,3.878788,0.111111,0,0,3,0,0,0,1,2,0
0,0,0.117188,0.027397,3,0,11,0,0.018182,0.018182,0,2,1320,0,0.117188,15,15,0,0,0,0.054545,0,0,0,1,0,1,0.0625,0.013699,0,0.007813,0.046875,0.036364,0,0,1,0,0,0,0.164384,5.078947,128,0,2,0.09589,0,5,0,3,0,0.145455,0,0,0,0,1,2,2.25,3,0,1,0,0.039063,0,0,0,1,0.013699,0,2,0.013699,0,0,0.015625,0.015625,0,0,0,0,0.072727,0,0,0,0.068493,1,8,0,2,0.018182,0.431334,0.007813,0,2,0,0,0,0,0.015625,2,1,0,0,0.125,1,1,0,0.007813,0,5,0,0,0,0,0,2,1,0,33,0,0,0,0.054545,1,0,0.018182,8,0,0,0,0,0,3,0,3.8,16,1,0,0,28,9,1,1,0.0625,no,0,0,0,0.236364,7,0.123288,1,7,0,0,0,0,3,55,0.257813,1,0,2,0.018182,0,0.090909,0,0,0,0,0,1,0,0,8,0,0,13,0.054545,0.027397,0,0.023438,0,0,0,0.013699,0.027397,0.018182,12,0,0.013699,0,Graduate,2,0.007813,0.273973,0,0,False,0,0.041096,0.015625,0,0,0.015625,5,0,0.041096,0.015625,4,0,0,0,0,0,0.015625,0,73,0.018182,0,2,0,0,0.013699,0,0.013699,0,0.007813,3,0,0.013699,0,3.484848,0.127273,0,0,6,1,0,0,1,20,0
0,0,0.036765,0.092105,0,0,12,0.033333,0,0,0.05,0,1320,0.007353,0.139706,5,19,0,1,0,0.066667,1,0,0,1,0,0,0.051471,0,0.013158,0,0.029412,0.033333,0,0,1,0,0.016667,0.016667,0.013158,4.85,136,0,0,0.118421,0.014706,2,1,0,0,0.166667,0.016667,1,1,1,0,1,2.4,6,0.007353,1,0,0.014706,3,0.007353,1,0,0.052632,0,1,0,0,0,0,0.007353,2,0,0,0,0.033333,0,0,0.007353,0.013158,0,5,0,7,0,-0.848432,0,4,1,0.016667,0,0,0,0.007353,2,4,0,0,0.125,0,0,0,0.029412,0.016667,2,0,0,0,0,0.007353,1,0,0,41,0.013158,1,0,0,0,2,0,7,0,0,0,0.026316,0.014706,3,0,3.75,17,0,0,1,30,15,0,0,0.036765,yes,1,0,1,0.283333,9,0.197368,4,2,2,0.013158,0,0,2,60,0.301471,0,0,11,0,0,0.033333,0,0,1,0,0,0,0,0,10,0,0.013158,17,0.1,0.013158,0,0.014706,0.066667,0,0,0,0.026316,0.016667,1,0.007353,0,0,Graduate,2,0,0.315789,0,0,False,1,0,0.080882,1,0,0.007353,1,0,0.039474,0,2,0,0,0,0,1,0.007353,4,76,0,0,1,2,0,0.013158,0,0.013158,1,0,4,0,0,0.029412,3.393939,0.033333,0,0,4,0,0.007353,1,0,24,0.013158
0,0,0.052632,0.133333,0,0,3.5,0,0,0,0,1,1160,0,0.298246,3,17,0,1,0,0.074074,0,0,0,0,0,0,0,0,0,0,0.122807,0,0,0,0,0,0,0,0.033333,5.425,57,0,0,0.3,0,0,0,0,0,0.296296,0,1,0,0,0,1,3.3,0,0,0,0,0,0,0,0,0,0.033333,0,0,0,0,1,0,0,0,0,0,1,0.222222,0,0,0,0,1,4,0,4,0.037037,-0.848432,0.017544,1,0,0,0,0,0,0,0,2,0,0,0.210526,0,1,0,0.035088,0,0,0,0,0,0,0.017544,0,0,0,2,0,0,0,0,1,0,0,0,0,0.037037,0,0,0,4,0,3.4,12,0,0,0,23.5,7,0,0,0.070175,no,0,0,0,0,9,0.233333,1,5,0,0,0,0,0,27,0.035088,0,0,5,0.037037,0,0,0,0.037037,0,1,0,0,0,0,8,0,0.033333,0,0,0,0,0,0.037037,0,0,0,0.033333,0,1,0,0,0,Undergraduate,1,0,0.066667,0,0,False,0,0,0.087719,0,0,0.017544,0,0,0.133333,0.017544,6,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,0,2,0,0,0.017544,3.466383,0.185185,0.037037,0,7,0,0,0,0,2,0
0.010471,0,0.04712,0.042553,1,0,11,0,0.010309,0.010309,0.041237,1,1480,0.015707,0.141361,9,27,0,0,0,0.041237,2,1,0,1,0,0,0.146597,0.031915,0.021277,0.005236,0.041885,0.072165,0,0,0,0,0,0.020619,0.053191,5.591667,191,0,0,0.170213,0.005236,1,0,9,0.010309,0.113402,0.010309,5,9,0,0,16,2.55,17,0,10,0,0.08377,4,0.04712,2,1,0.010638,0,1,0,0,0,0,0.026178,0,0,0,0,0.051546,4,0,0,0.117021,0,4,0,4,0.061856,-0.07412,0,9,0,0,0,0,0,0.005236,7,1,0,0.010638,0.104712,1,1,4,0.005236,0.051546,16,0,0,0,0.010638,0,5,0,0,6,0,0,0,0.010309,6,2,0.010309,28,0,0,0,0.021277,0,3,0,3.4,20,3,5,3,26.5,11,1,7,0.020942,no,5,0,0,0.030928,16,0.117021,1,9,1,0,0,2,3,97,0.031414,0,0,9,0.010309,0,0.010309,0,0,1,0,0,0,1,0,11,0,0.053191,3,0.175258,0,0.042553,0.015707,0.051546,0.051546,0,0,0.031915,0.010309,5,0.010471,0,1,Graduate,3,0.005236,0.031915,0,0,True,2,0.095745,0.04712,0,0,0.08377,11,0,0.031915,0.005236,5,0.041237,0,0,0,0,0.005236,5,94,0,0.010309,1,0,0,0.106383,1,0,0,0.036649,4,0,0,0.04712,3.742424,0.092784,0,0,8,1,0.005236,1,1,3,0
0,0,0,0.067416,2,0,48,0,0,0,0,0,1260,0,0.088435,0,13,0,2,0,0,1,0,0,1,0,0,0.027211,0,0,0.006803,0.013605,0.017241,0,0,1,0,0,0.017241,0,5.625,147,0,0,0.078652,0,4,0,5,0,0.103448,0,2,0,0,0,3,2.9,4,0,1,1,0.040816,0,0,2,1,0.022472,0,1,0,0,1,0,0.013605,0,0,0,0,0,0,0,0.006803,0,1,5,0,6,0.034483,-1.165286,0.006803,2,1,0,0,0,0,0.034014,1,4,0,0,0.07483,0,0,1,0.027211,0,6,0,0,0,0,0.013605,2,0,0,62,0.022472,1,0,0.034483,2,0,0.017241,4,0,0.034483,0,0,0,1,0,3.616667,11,0,1,0,28.5,8,0,1,0.034014,no,0,0,0,0.293103,7,0.089888,2,3,0,0.011236,0,0,2,58,0.421769,0,0,17,0,0,0.068966,0,0.017241,0,2,0,4,0,0,6,0,0.022472,17,0.068966,0.011236,0,0.013605,0.189655,0.017241,0,0,0.022472,0.017241,0,0.013605,0.044944,0,Graduate,2,0,0.505618,0,0,False,0,0.05618,0.115646,1,0,0.020408,0,0,0.011236,0,0,0.017241,0,0,0.011236,2,0.006803,11,89,0,0,5,0,0,0.011236,0,0.011236,0,0.006803,0,0,0,0.013605,3.818182,0.051724,0,0,2,1,0,0,0,45,0
0,0,0.028571,0.111111,2,0,11,0,0,0,0.031579,1,1240,0,0.257143,4,36,0.022222,0,0,0,0,0,0,1,0,0,0,0.022222,0,0.007143,0.057143,0,0,0,0,0,0,0,0.088889,5.275,140,0,0,0.2,0.021429,8,0,1,0,0.284211,0.031579,0,0,0,0,7,2.65,0,0,2,0,0.007143,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.042105,0,0,0,0,0,10,0,5,0.052632,0.431334,0,3,0,0,0,0,0,0.014286,0,1,0,0,0.135714,0,1,8,0.007143,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0.021053,5,2,0,0,0,0.010526,0,0.044444,0,2,0,4.1,19,1,0,0,28,9,0,9,0.071429,no,0,1,0,0.105263,9,0.2,0,10,3,0,0,0,4,95,0.1,0,0,17,0.010526,0,0.084211,0,0,3,1,0,1,0,0,27,0,0,10,0,0,0,0.028571,0.126316,0,0,0,0.088889,0.010526,4,0,0.022222,0,Graduate,4,0,0.088889,0,0,True,0,0.022222,0.121429,0,0,0.05,0,0,0.044444,0.007143,4,0.084211,0,0,0,0,0,12,45,0,0,2,0,0,0.044444,0,0,0,0.064286,0,0,0,0.021429,3.833333,0.105263,0,0,8,0,0,0,0,4,0
0,0,0.007353,0.028777,0,0,40,0.022556,0,0,0,1,1160,0.011029,0.113971,2,31,0.043165,4,0,0.015038,4,0,0.003676,0,0,1,0,0.007194,0.021583,0.036765,0.018382,0.06015,0,0,0,0,0,0.030075,0,4.75,272,0,1,0.143885,0,15,0,8,0,0.082707,0,2,0,0,0,5,2.4,0,0,5,0,0.058824,0,0,4,10,0.028777,0,0,0,1,0,0.003676,0.003676,3,1,0.007519,3,0.022556,0,0,0.011029,0,0,21,0,4,0,-0.506882,0,2,0,0,0,0,0.007194,0,8,7,0,0,0.102941,0,1,1,0.025735,0,16,0,0,0.022556,0,0.014706,1,0,0,106,0.007194,0,0,0,0,4,0.030075,0,0,0.022556,1,0.028777,0.011029,6,1,2.95,28,1,1,3,25.5,14,0,2,0.077206,no,0,6,0,0.368421,20,0.100719,4,14,0,0,0,0,4,133,0.389706,0,0,10,0.007519,0,0.112782,0,0,0,3,0.003676,0,0,1,11,0,0.014388,49,0,0,0,0.014706,0.045113,0.007519,0,0,0.014388,0,0,0.014706,0,0,Graduate,2,0.003676,0.410072,3,0,True,3,0.057554,0.036765,3,0,0.018382,0,0.007194,0.043165,0.003676,3,0.007519,0,0,0,1,0,6,139,0.007519,0,0,3,0,0.035971,0,0,0,0.007353,2,0,0,0.007353,3.318182,0.105263,0.022556,0,5,4,0,0,1,57,0
