@relation 'meta_fv-weka.filters.unsupervised.instance.NonSparseToSparse-weka.filters.unsupervised.attribute.Remove-R1,11'

@attribute mean_age numeric
@attribute negative_experience {no,yes}
@attribute education {Graduate,Undergraduate}
@attribute east.asian.time.in.us numeric
@attribute cultural_intelligence numeric
@attribute emotional.intelligence numeric
@attribute IQ numeric
@attribute extroversion numeric
@attribute openness numeric
@attribute profit.joint numeric

@data
{0 34.5,3 32,4 5.375,5 4.469697,6 0.827053,7 4.35,8 4.75,9 1480}
{0 28,3 40,4 5.225,5 4,6 0.87027,7 3.8,8 3.6,9 1320}
{0 27,1 yes,3 58,4 5.2,5 3.893939,6 0.613759,7 3.85,8 3.9,9 1480}
{0 40.5,1 yes,3 8,4 4.7,5 3.681818,6 0.199518,7 3.45,8 4.45,9 1320}
{0 29,3 17,4 5.525,5 3.666667,6 0.63228,7 4.05,8 3.75,9 1320}
{0 29,3 6,4 4.875,5 3.532197,6 -0.653659,7 3.644444,8 3.6,9 1400}
{0 26,3 46,4 4.95,5 3.833333,6 0.650802,7 3,8 3.55,9 1400}
{0 34,3 9,4 4.8,5 3.5,6 -1.475967,7 2.45,8 3.15,9 1400}
{0 26,1 yes,3 20,4 5.325,5 3.723958,6 -0.72635,7 3.6,8 4.25,9 1400}
{0 26.5,1 yes,3 23,4 5.675,5 3.681818,6 -0.647485,7 3.6,8 3.6,9 1480}
{0 27.5,3 48,4 3.975,5 3.636364,6 0.772883,7 3.25,8 3.95,9 1400}
{0 27,3 23,4 5.35,5 4.30303,6 -0.757219,7 3.9,8 4.15,9 1240}
{0 24,1 yes,3 10,4 5.275,5 3.636364,6 0.998525,7 3.6,8 4.35,9 1320}
{0 29.5,1 yes,3 60,4 5.075,5 4.30303,6 -0.111163,7 3.55,8 4,9 1240}
{0 34.5,1 yes,2 Undergraduate,3 ?,4 4.823684,5 3.924242,6 0.211866,7 3.75,8 4.15,9 1400}
{0 29,3 32,4 4.575,5 3.878788,6 -0.305935,7 3.7,8 3.45,9 1480}
{0 28,3 11,4 5.078947,5 3.484848,6 0.431334,7 2.25,8 3.8,9 1320}
{0 30,1 yes,3 12,4 4.85,5 3.393939,6 -0.848432,7 2.4,8 3.75,9 1320}
{0 23.5,2 Undergraduate,3 3.5,4 5.425,5 3.466383,6 -0.848432,7 3.3,8 3.4,9 1160}
{0 26.5,3 11,4 5.591667,5 3.742424,6 -0.07412,7 2.55,8 3.4,9 1480}
{0 28.5,3 48,4 5.625,5 3.818182,6 -1.165286,7 2.9,8 3.616667,9 1260}
{0 28,3 11,4 5.275,5 3.833333,6 0.431334,7 2.65,8 4.1,9 1240}
