@relation 'all_fv_N20-weka.filters.unsupervised.attribute.Remove-R41,51'

@attribute percentage-of-(IP)-overall numeric
@attribute percentage-of-(SF)-overall numeric
@attribute percentage-of-(OM)-grocery numeric
@attribute percentage-of-(SF)-grocery numeric
@attribute number-of-(PO)-overall numeric
@attribute number-of-(IR)-overall numeric
@attribute number-of-(IS)-grocery numeric
@attribute percentage-of-(IP-RN)-overall numeric
@attribute percentage-of-(SBR-MINEG)-overall numeric
@attribute percentage-of-(QM-IR)-overall numeric
@attribute percentage-of-(SBR-SF)-overall numeric
@attribute percentage-of-(OM-QM)-wine numeric
@attribute percentage-of-(MIN-IR)-wine numeric
@attribute percentage-of-(IP-SF)-grocery numeric
@attribute percentage-of-(IP-IDN)-turns numeric
@attribute percentage-of-(MIN-QR)-turns numeric
@attribute percentage-of-(IDN-SBR)-turns numeric
@attribute number-of-(IP-RN)-overall numeric
@attribute number-of-(OM-RP)-overall numeric
@attribute number-of-(IP-IDN)-turns numeric
@attribute 1-0020 numeric
@attribute 1-0090 numeric
@attribute 1-0091 numeric
@attribute 1-0177 numeric
@attribute 1-0432 numeric
@attribute 1-0483 numeric
@attribute 1-0605 numeric
@attribute 1-0687 numeric
@attribute 1-0891 numeric
@attribute 1-1062 numeric
@attribute 1-1702 numeric
@attribute 1-1800 numeric
@attribute 1-1886 numeric
@attribute 2-0004 numeric
@attribute 2-0112 numeric
@attribute 2-0250 numeric
@attribute 2-0254 numeric
@attribute 2-0994 numeric
@attribute 3-0030 numeric
@attribute 3-0046 numeric
@attribute mean_age numeric
@attribute negative_experience {no,yes}
@attribute education {Graduate,Undergraduate}
@attribute east.asian.time.in.us numeric
@attribute cultural_intelligence numeric
@attribute emotional.intelligence numeric
@attribute IQ numeric
@attribute extroversion numeric
@attribute openness numeric
@attribute profit.joint numeric

@data
0.081818,0.004545,0.043103,0.008621,3,5,0,0.004566,0,0,0,0,0,0,0,0.009346,0,1,3,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27.5,no,Graduate,48,3.975,3.636364,0.772883,3.25,3.95,1400
0.115702,0.008264,0,0,0,1,0,0.008333,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,27,no,Graduate,23,5.35,4.30303,-0.757219,3.9,4.15,1240
0.128571,0.007143,0.055556,0.011111,1,2,0,0.007194,0.007194,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,yes,Graduate,10,5.275,3.636364,0.998525,3.6,4.35,1320
0.076404,0.008989,0.046512,0.013953,2,2,0,0.004505,0.013514,0.002252,0.002252,0.004367,0,0,0,0,0.004525,2,2,0,5,2,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.5,yes,Graduate,60,5.075,4.30303,-0.111163,3.55,4,1240
0.146067,0,0.074074,0,4,7,0,0,0,0.011364,0,0,0.029412,0,0,0,0,0,2,0,7,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,yes,Undergraduate,?,4.823684,3.924242,0.211866,3.75,4.15,1400
0.096296,0,0.015873,0,7,8,0,0.007463,0,0,0,0.014085,0.014085,0,0,0.011364,0,1,2,0,3,3,2,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,29,no,Graduate,32,4.575,3.878788,-0.305935,3.7,3.45,1480
0.125,0,0.054545,0,2,0,0,0.007874,0,0,0,0.027778,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,28,no,Graduate,11,5.078947,3.484848,0.431334,2.25,3.8,1320
0.125,0.007353,0.1,0,1,4,1,0,0.007407,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30,yes,Graduate,12,4.85,3.393939,-0.848432,2.4,3.75,1320
0.210526,0.017544,0,0.037037,0,1,0,0,0,0,0.017857,0,0,0.038462,0.021739,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,23.5,no,Undergraduate,3.5,5.425,3.466383,-0.848432,3.3,3.4,1160
0.104712,0,0.175258,0,5,9,0,0,0,0,0,0.010753,0.010753,0,0,0.007752,0,0,4,0,7,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,26.5,no,Graduate,11,5.591667,3.742424,-0.07412,2.55,3.4,1480
